,Country,Region_Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Malaysia,Asia & Oceania,178.9350063,201.0790008,214.1550008,211.7000013,231.1640038,313.9350118,407.2170132,415.8820052,304.5390081,393.12601,510.3249853,630.3059704,667.8049698,546.4059719,761.2809523,508.9852407,767.8660205,970.0354201,1014.1415653,868.0447201,1243.5685748,1586.6644248,1742.0145929,1957.4729604,1822.5840495,1843.9702994,1948.433798,2044.3377961,2323.9918716,2418.935069
51,Marshall Islands,Asia & Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6015672
52,Micronesia (Federated States of),Asia & Oceania,0.0,0.0,0.0,0.0,0.0,1.171,0.0540001,1.300982,0.2310004,1.1689995,1.2443233,3.16295,3.6454633,3.028743,3.3192219,2.9291953,3.605941,3.7687635,6.3455663,8.7781628,4.0112248,3.8344505,4.726286,6.3988222,4.559615,4.9790723,3.6880514,2.0011378,3.3478596,1.3480678
53,Mongolia,Asia & Oceania,0.2889994,0.0,0.1710012,0.0600019,0.9010005,0.8740006,2.284351,1.4308474,3.0887698,1.4908879,1.3345723,4.8168734,14.3379999,5.0644098,9.3899196,10.8370804,12.1700221,7.9341428,10.0129964,8.7809938,11.2910001,15.8169995,14.2229999,21.9694058,24.1566389,25.9630728,27.0377267,31.7782774,32.5578803,35.6891233
54,Myanmar,Asia & Oceania,0.0149997,0.1639996,1.0870008,0.0299988,1.2850017,2.1350011,0.8769974,0.054001,0.0260002,0.0220022,0.0220001,57.208494,54.9139997,61.624,81.6569998,63.9279997,82.8139834,109.2569934,158.8459944,194.7139995,314.8759919,257.3459948,352.524,188.9639999,202.2360006,209.8250001,172.3469995,390.5232221,362.2029183,308.3856131
55,New Zealand,Asia & Oceania,134.0079984,127.1249967,135.163997,150.2879962,147.4769983,149.4689949,156.5559969,162.9329998,190.3179975,170.6849912,189.5969898,196.918413,204.920712,221.8454283,236.3993919,243.4937693,259.732059,258.8731255,262.2593692,281.8758584,280.26413,271.370237,285.6371506,323.2819166,328.7562877,358.8342787,348.2699157,376.429675,405.0494458,501.609091
56,Oman,Asia & Oceania,35.6480023,52.260008,59.2850041,34.4100069,39.7990011,55.06,41.2490014,46.2990026,57.2120025,56.2890042,74.9879996,59.9949982,45.0710013,64.0719962,59.9933832,57.8175424,54.650097,61.3777889,67.0250602,69.3625763,55.4961341,74.1054805,88.1980294,114.5480175,114.5097708,102.3940551,99.4056663,69.0450393,165.9373586,84.4089848
57,Pakistan,Asia & Oceania,3.3219991,1.6520042,5.1760019,1.2359992,1.020004,4.1510008,5.2920014,1.3860021,0.5100007,1.5379989,2.079001,3.0579992,1.6569998,5.9499993,8.5266429,7.5865548,8.4164003,8.0083045,10.8121418,9.8740245,9.5715219,7.5003378,4.7148783,17.3820817,18.3133107,12.616161,12.1362136,26.3414504,22.9312052,23.4825562
58,Qatar,Asia & Oceania,5.1780037,10.5820021,10.6650049,4.7230073,6.7310031,16.1510007,13.2840001,12.1169969,10.6440017,21.2300082,15.2089992,19.0190005,20.1030002,23.6949965,20.8059972,31.6966009,23.2808086,32.4295765,45.01359,53.8454563,58.1905369,42.2639222,49.4475034,46.45958,43.691421,55.3322152,75.0349254,94.8255753,64.9607271,183.1250309
59,Republic of Korea,Asia & Oceania,895.734003,864.9250083,1003.5510034,1079.2760002,1184.8769959,1102.7720035,996.9010099,1178.6550004,1071.1550035,1138.3650044,1316.3879955,1330.8119894,1412.3279931,1402.654979,1500.8745843,1536.8234773,1572.2806677,1586.7974597,1845.3671252,1798.7495919,2010.6834863,2345.7895082,2106.4805445,2141.1030221,2418.9411004,2518.0944521,2779.7937569,2893.4107421,2898.6494075,3133.6975161
60,Samoa,Asia & Oceania,1.0400021,0.3924906,0.4721654,0.6864854,0.102816,0.0793254,0.6330146,0.043316,0.1163306,0.13,0.0798014,0.0798014,0.0325684,0.1190639,0.2003162,0.2828147,0.3929187,0.2509304,3.0991277,2.6446322,4.6870857,4.4605807,7.2759786,9.3470397,11.7624947,14.0637682,16.4965555,14.2362539,5.3537852,3.4729846
61,Saudi Arabia,Asia & Oceania,275.0530106,343.1240019,231.8720041,144.2319991,106.9359991,290.5890066,281.1200026,214.7260014,343.9040019,364.853011,412.7469918,389.2269926,453.6550337,474.2000545,566.1332346,596.2629834,643.8410556,757.9642589,830.5495005,853.9446673,955.3363342,1029.5841677,1214.9317682,1331.6378767,1383.3098104,1683.8637298,1370.9570355,1532.2255945,1245.8386825,1284.3696776
62,Singapore,Asia & Oceania,1214.4419992,1099.4719995,1552.2749988,1614.5749997,1770.2169984,1041.0610001,862.1190006,1100.1969998,697.9910021,869.6700021,944.1509265,1051.8829042,1118.7869029,990.6199017,1392.8464373,1263.503752,1014.7499033,879.4380146,767.0174721,581.9529586,624.4769845,643.5004275,760.6733491,680.6412463,766.5899028,873.6320706,681.3965002,699.4418602,807.4428442,894.6251517
63,Solomon Islands,Asia & Oceania,0.3400008,0.2779995,0.16666,0.16666,0.16666,0.16666,0.16666,2.41666,2.1,2.1,2.1,0.4644811,0.635663,0.2774474,2.6080217,4.1405225,7.5830169,10.7728238,10.5119651,9.9611496,10.0540707,4.5445747,9.6939135,1.5846506,6.8165476,10.3458851,3.1001209,2.2832153,1.1035482,0.9296127
64,Syrian Arab Republic,Asia & Oceania,26.25,166.0760004,180.8340005,228.9680035,185.3840004,200.0400011,218.5669981,209.490007,268.2409994,276.7880018,221.3109974,640.7909971,450.1275264,207.9533303,343.8395303,407.6425241,266.2483107,593.792104,346.6652842,725.106656,501.4801006,604.7291642,477.9028163,436.7773015,463.3269997,423.1579997,402.9339821,459.9624615,459.9624615,515.7988007
65,Taiwan,Asia & Oceania,146.0630029,183.8690002,173.4719962,156.7210035,212.8770111,166.4309969,209.5160051,253.9440112,268.2190023,318.0869979,402.1509605,442.7189577,478.3459538,490.8649539,360.5026733,324.5793719,295.276071,358.0800304,319.0676739,359.9623837,453.2204576,469.7925627,475.8954741,557.0933414,583.185916,667.2607233,697.8077176,850.9462298,789.3315937,833.7757069
66,Tajikistan,Asia & Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3768044
67,Tonga,Asia & Oceania,0.1449986,0.2500008,0.2220031,0.3019987,0.4160021,0.1950014,0.428004,0.2310031,0.3210007,0.3650023,0.8373201,1.1060033,0.7848867,0.6532667,0.34653,0.7230967,1.0742634,3.39522,1.4555785,2.0204347,1.6737619,1.8065101,1.7719819,2.0861695,0.9713961,1.2938417,1.3000003,0.5175995,1.2484364,0.1035189
68,Turkey,Asia & Oceania,140.3720053,164.5920074,171.2720018,219.6220065,142.3920007,201.0129989,251.8499992,252.9830082,295.810002,268.0270088,291.637228,294.2774068,363.1524838,372.2426204,410.7363724,472.4334929,509.3537453,530.0058494,499.6559027,533.6328655,625.3691978,656.4602891,723.3500264,841.9745974,986.6850222,1248.7465027,1191.7380297,1474.3137352,1463.9643317,1862.997661
69,United Arab Emirates,Asia & Oceania,79.2689997,93.7570008,116.5480052,102.9150027,93.7030149,114.9690083,137.796001,124.8539961,174.6530117,91.7815708,189.2080209,246.8270044,241.2720036,224.7929833,299.017004,356.7207402,317.6859632,324.1408718,319.9347069,345.3927122,296.1447724,349.9362792,369.3907937,468.3111231,463.1254485,530.4295334,605.800158,845.0375911,1118.3208296,1351.8722807
70,Uzbekistan,Asia & Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8225049,119.6268348
